Key;Tekst_Mikkel_Peter;Tekst_bem
ID1911070400;;
ID1911070500;;
ID1911070600;;
ID1911070700;;
ID1911070800;;
ID1911070900;;
ID1911071000;;
ID1911071100;;
ID1911071200;;
ID1911071300;;
ID1911071400;;
ID1911071500;;
ID1911071600;;
ID1911071700;;
ID1911071800;;
ID1911071900;;
ID1911072000;;
ID1911072100;;
ID1911072200;;
ID1911072400;;
ID1911072800;;
ID1911072900;;
ID1911081410;færdig med høsten;
ID1911081510;ved Jens;
ID1911081610;-;
ID1911081710;-;
ID1911081810;-;
ID1911081910;-;
ID1911082010;-;
ID1911082110;-;
ID1911082310;losset gødning;
ID1911082610;Viking losset sojakager;
ID1911082710;  -     søndag;
ID1911082810;Losset;
ID1911082910;Losset Solsikke, hampfrø;
ID1911080100;;
ID1911080200;;
ID1911080300;;
ID1911080400;;
ID1911080500;;
ID1911080600;;
ID1911080700;;
ID1911080800;;
ID1911080900;;
ID1911081000;;
ID1911081100;;
ID1911081200;;
ID1911081300;;
ID1911082200;;
ID1911082400;;
ID1911082500;;
ID1911083000;;
ID1911083100;;
ID1911090210;Valdemars Motor/en flymaskine kommen;
ID1911090310;Været i Nordby;
ID1911090510;Losse byg Ballen;
ID1911090810;Losse byg Ballen;
ID1911090910;Fremmede fra Nordby;
ID1911091410;losset byg Ballen;
ID1911091510;losset kul Friis 364 tdr;
ID1911091610;362;
ID1911091710;søndag;
ID1911091810;losset byg ½   130;
ID1911091910;348;
ID1911092010;færdig med kul, ladet hvede 131/1335 tdr;
ID1911092110;Sarah Kb, ladet 600 tdr;
ID1911092410;Tærsket for R. Søren;
ID1911090100;;
ID1911090400;;
ID1911090600;;
ID1911090700;;
ID1911091000;;
ID1911091100;;
ID1911091200;;
ID1911091300;;
ID1911092200;;
ID1911092300;;
ID1911092500;;
ID1911092600;;
ID1911092700;;
ID1911092800;;
ID1911092900;;
ID1911093000;;
ID1911100110;konfirmation;
ID1911100410;ladet byg,H. Larsen, 533 tdr;
ID1911100610;losset byg H. Larsen, 533 tdr.;
ID1911100710;408 tdr.ladet byg Nyborg;
ID1911102010;ladet byg Anna Lohals 612 tdr.;
ID1911102110;ladet byg Mira Fåborg 620 tdr.;
ID1911100200;;
ID1911100300;;
ID1911100500;;
ID1911100800;;
ID1911100900;;
ID1911101000;;
ID1911101100;;
ID1911101200;;
ID1911101300;;
ID1911101400;;
ID1911101500;;
ID1911101600;;
ID1911101700;;
ID1911101800;;
ID1911101900;;
ID1911102200;;
ID1911102300;;
ID1911102400;;
ID1911102500;;
ID1911102600;;
ID1911102700;;
ID1911102800;;
ID1911102900;;
ID1911103000;;
ID1911103100;;
ID1911110110;¨¨;
ID1911110210;¨¨;
ID1911110310;¨¨;
ID1911110410;¨¨;
ID1911110510;¨¨;
ID1911110610;¨¨;
ID1911110710;¨¨;
ID1911110810;¨¨;
ID1911110910;¨¨;
ID1911111010;¨¨;
ID1911111110;¨¨;
ID1911111210;¨¨;
ID1911111310;¨¨;
ID1911111410;¨¨;
ID1911111510;¨¨;
ID1911111610;¨¨;
ID1911111710;¨¨;
ID1911111810;Ladet byg, K Larsen, 350tdr;
ID1911111910;¨¨;
ID1911112010;¨¨;
ID1911112110;¨¨;
ID1911112210;¨¨;
ID1911112310;¨¨;
ID1911112410;¨¨;
ID1911112510;¨¨;
ID1911112610;¨¨;
ID1911112710;¨¨;
ID1911112810;¨¨;
ID1911112910;¨¨;
ID1911113010;¨¨;
ID1911120110;¨¨;
ID1911120210;¨¨;
ID1911120310;¨¨;
ID1911120410;¨¨;
ID1911120510;¨¨;
ID1911120610;¨¨;
ID1911120710;¨¨;
ID1911120810;¨¨;
ID1911120910;¨¨;
ID1911121010;¨¨;
ID1911121110;¨¨;
ID1911121210;12 pund ål;
ID1911121310;taget pæle op;
ID1911121410;11 pund ål;
ID1911121500;;
ID1911121600;;
ID1911121700;;
ID1911121800;;
ID1911121900;;
ID1911122000;;
ID1911122100;;
ID1911122200;;
ID1911122300;;
ID1911122400;;
ID1911122500;;
ID1911122600;;
ID1911122700;;
ID1911122800;;
ID1911122900;;
ID1911123000;;
ID1911123100;;
ID1912010210;ved Jens;
ID1912010310;¨¨;
ID1912010410;¨¨;
ID1912010510;¨¨;
ID1912010610;¨¨;
ID1912012310;til auktion;
ID1912012410;ved Jens;
ID1912012510;losset mais,Jens Nyborg;
ID1912012610;snestorm, fåret hjem;
ID1912012710;Kastet sne 1 time ved Jens;
ID1912012810;stanget ål ;(søndag)
ID1912013010;ladet kul Jens Nyborg;
ID1912013110;stanget ål  ;
ID1912010100;;
ID1912010700;;
ID1912010800;;
ID1912010900;;
ID1912011000;;
ID1912011100;;
ID1912011200;;
ID1912011300;;
ID1912011400;;
ID1912011500;;
ID1912011600;;
ID1912011700;;
ID1912011800;;
ID1912011900;;
ID1912012000;;
ID1912012100;;
ID1912012200;;
ID1912012900;;
ID1912020110;arbejde ved Jens;
ID1912020210;¨¨;
ID1912020310;¨¨;
ID1912020410;stanget ål isen;
ID1912020510;stanget ål isen;
ID1912020610;ved Jens;
ID1912020710;¨¨;
ID1912020810;¨¨;
ID1912020910;¨¨;
ID1912021010;stanget ål isen;
ID1912021110;stanget ål isen;
ID1912021210;stanget ål isen;
ID1912021310;blæsvejr isen væk;
ID1912021410;Taget stak ind;
ID1912021510;stanget ål ;
ID1912021610;fundet pæle;
ID1912021710;stanget ål;
ID1912021810;stanget ål;
ID1912021910;tjæret garn;
ID1912022010;kørt garn;
ID1912022110;spisset pæle;
ID1912022210;spisset pæle;
ID1912022310;ved Jens;
ID1912022410;ved Jens;
ID1912022510;stanget ål;
ID1912022610;ved Jens;
ID1912022710;ved Vilhelm;
ID1912022810;paa Hesselholm;
ID1912022910;stanget ål;
ID1912030110;slået pæle;
ID1912030210;syet garn½, losset gødning ½;
ID1912030310;syet garn ;
ID1912030410;slået pæle;
ID1912030510;syet garn;
ID1912030610;hængt garn;
ID1912030710;slået pæle;
ID1912030810;1½ ol sild;
ID1912030910;lapet åleruser;
ID1912031010;Juliane;
ID1912031110;1 ks.ild;
ID1912031210;været i Hou;
ID1912031310;hjem fra Hou;
ID1912031410;skrællet pæle;
ID1912031510;skrællet pæle;
ID1912031610;skrællet pæle;
ID1912031710;Verna i kirke ;(søndag)
ID1912031810;21 kasser sild;
ID1912031910;Lammene født, blæsvejr;
ID1912032010;40ks sild;
ID1912032110;slået pæle;
ID1912032210;slået pæle;
ID1912032310;4 k sild;
ID1912032410;slået  pæle færdig;
ID1912032510;2 k sild, hængt garn;
ID1912032610;syet garn;
ID1912032710;hængt garn ny;
ID1912032810;blæsvejr;
ID1912032910;til bryllup Bertel;
ID1912033010;5 kasser sild;
ID1912033110;2 k sild, fåret ud;
ID1912040110;lavet ruser;
ID1912040210;blæsvejr nodrøst;
ID1912040310;9 k sild;
ID1912040410;skærtorsdag, sat kartofler;
ID1912040510;Været i Nordby;
ID1912040610;lappet garn;
ID1912040710;påskedag;
ID1912040810;13 k sild;
ID1912040910;blæst sne;
ID1912041010;2 k sild;
ID1912041110;6 k sild;
ID1912041210;blæst sne;
ID1912041310;24 k sild, 2 joller, småsild ;
ID1912041410;11 ks sild;
ID1912041510;7 ks sild;
ID1912041610;sat åleruser;
ID1912041710;sat åleruser;
ID1912041810;2 ks sild;
ID1912042010;taget garn op;
ID1912042110;lappet garn;
ID1912042210;hængt garn;
ID1912042310;Vilhelm til Århus, røgtet åleruser;
ID1912042410;lapper ruser;
ID1912042510;lappet ruser;
ID1912042610;8 k s   76 hornfisk;
ID1912042710;4 k s    36 hornfisk;
ID1912042810;9 k s  12½ sn. hornfisk;
ID1912042910;3 k s    78 hornfisk;
ID1912043010;10 k s   8 snese Hf ;
ID1912041900;;
ID1912050110;30 hornfisk;
ID1912050210;10 hornfisk;
ID1912050310;helligdag;
ID1912050410;3 k s 3 k hf;
ID1912050510;18 k sild  3 k hfisk;
ID1912050610;4 k s  2 k hf;
ID1912050710;9 k s  1 k hf;
ID1912050810;Brand i Onsbjerg, 7 ks, 5 k hf;
ID1912050910;3 k s2 k hf;
ID1912051010;blæsvejr;
ID1912051110;5 k s 6 k hf;
ID1912051210;1 k s 3 k hf;
ID1912051310;blæsvejr;
ID1912051410;32 hornfisk;
ID1912051510;11 k s  5 k hf;
ID1912051610;blæsvejr;
ID1912051710;1 ks 3 k hf;
ID1912051910;¨¨;
ID1912052010;5 k s 4 k hf;
ID1912052110;10 hornfisk;
ID1912052210;1 k 4 k hf;
ID1912052310;4 k hornfisk;
ID1912052410;8 k s 4 k hf;
ID1912052810;18 k hf  2 k sild;
ID1912052910;Tordenvejr hagl,2 k s 21 k hf;
ID1912053010;2 k hornfisk;
ID1912053110;2 k s 21 k hf;
ID1912051800;;
ID1912052500;;
ID1912052600;;
ID1912052700;;
ID1912060310;1 k s, 11 k hf, 4 k ;
ID1912060710; k hf;
ID1912061110;taget garn op, 6 k hf ved Ballen;
ID1912061410;været i Kalundborg, 1 k s, 6 k. hf;
ID1912061510;taget garn op ny, 3 k hf;
ID1912060100;;
ID1912060200;;
ID1912060400;;
ID1912060500;;
ID1912060600;;
ID1912060800;;
ID1912060900;;
ID1912061000;;
ID1912061200;;
ID1912061300;;
ID1912061600;;
ID1912061700;;
ID1912061800;;
ID1912061900;;
ID1912062000;;
ID1912062100;;
ID1912062200;;
ID1912062300;;
ID1912062400;;
ID1912062500;;
ID1912062600;;
ID1912062700;;
ID1912062800;;
ID1912062900;;
ID1912063000;;
ID1912072110;slået pæle;
ID1912072310;slået pæle;
ID1912070100;;
ID1912070200;;
ID1912070300;;
ID1912070400;;
ID1912070500;;
ID1912070600;;
ID1912070700;;
ID1912070800;;
ID1912070900;;
ID1912071000;;
ID1912071100;;
ID1912071200;;
ID1912071300;;
ID1912071400;;
ID1912071500;;
ID1912071600;;
ID1912071700;;
ID1912071800;;
ID1912071900;;
ID1912072000;;
ID1912072200;;
ID1912072400;;
ID1912072500;;
ID1912072600;;
ID1912072700;;
ID1912072800;;
ID1912072900;;
ID1912073000;;
ID1912073100;;
ID1912080310;slået pæle;
ID1912080410;slået pæle;
ID1912080510;bygynt at høste;
ID1912082610;færdig ned høsten;
ID1912080100;;
ID1912080200;;
ID1912080600;;
ID1912080700;;
ID1912080800;;
ID1912080900;;
ID1912081000;;
ID1912081100;;
ID1912081200;;
ID1912081300;;
ID1912081400;;
ID1912081500;;
ID1912081600;;
ID1912081700;;
ID1912081800;;
ID1912081900;;
ID1912082000;;
ID1912082100;;
ID1912082200;;
ID1912082300;;
ID1912082400;;
ID1912082500;;
ID1912082700;;
ID1912082800;;
ID1912082900;;
ID1912083000;;
ID1912083100;;
ID1912090310;taget pæle op;
ID1912090410;taget pæle op;
ID1912090910;Rasmus Mikal kørt åleruser til Mårup havn;
ID1912091010;sat åleruser;
ID1912091310;sat åleruser Staalhøj;
ID1912091910;sat torskeruser;
ID1912092110;taget åleruser op;
ID1912092310;sat åleruser igen;
ID1912092710;været i Århus med torsk;
ID1912090100;;
ID1912090200;;
ID1912090500;;
ID1912090600;;
ID1912090700;;
ID1912090800;;
ID1912091100;;
ID1912091200;;
ID1912091400;;
ID1912091500;;
ID1912091600;;
ID1912091700;;
ID1912091800;;
ID1912092000;;
ID1912092200;;
ID1912092400;;
ID1912092500;;
ID1912092600;;
ID1912092800;;
ID1912092900;;
ID1912093000;;
ID1912100610;ål;
ID1912100910;solgt ål kvasen 59 pund;
ID1912101110;solgt torsk til Ole Liin fra Hou;
ID1912101310;Marie i Nordby, på Kyholm Hyllebær;
ID1912101810;taget ruser op bugten;
ID1912102010;Sat torskeruser, Nicolai & Klavdine;
ID1912102110;Blæst sydøst;
ID1912102210;¨¨;
ID1912102310;¨¨;
ID1912102410;¨¨;
ID1912102510;¨¨;
ID1912102610;¨¨;
ID1912102710;¨¨;
ID1912102810;taget ruser op Staalhøj;
ID1912103010;270 pund torsk Vilhelm, 130 pund torsk;
ID1912100100;;
ID1912100200;;
ID1912100300;;
ID1912100400;;
ID1912100500;;
ID1912100700;;
ID1912100800;;
ID1912101000;;
ID1912101200;;
ID1912101400;;
ID1912101500;;
ID1912101600;;
ID1912101700;;
ID1912101900;;
ID1912102900;;
ID1912103100;;
ID1912110310;112 pund torsk;
ID1912110610;losset Mais Bak;
ID1912110710;ved Jens;
ID1912110810;112 pund torsk;
ID1912110910;40 pund torsk;
ID1912111010;84 pund torsk;
ID1912111510;pilket torsk, 75 pund torsk;
ID1912111610;Pilket torsk 450 pund, Jens Hansen 9 kr. pr. mand, ;
ID1912111710;slagtet gris, 90 pund torsk;
ID1912111810;pilket torsk;
ID1912111910;pilket torsk;
ID1912112110;sejlet får fra Vejrø;
ID1912112210;sat får på Hjortholm, røgtet ruser;
ID1912112310;På margasinet;
ID1912112510;På margasinet;
ID1912112610;solgt 150 pund torsk;
ID1912112710;¨¨;
ID1912112910;ladet byg, 493 tdr. P. Jørgen ;
ID1912113010;ladet byg, 379 tdr. Caroline af Frederits;
ID1912110100;;
ID1912110200;;
ID1912110400;;
ID1912110500;;
ID1912111100;;
ID1912111200;;
ID1912111300;;
ID1912111400;;
ID1912112000;;
ID1912112400;;
ID1912112800;;
ID1912120110;røgtet ruser  ;(søndag)
ID1912120210;ved Jens;
ID1912120310;solgt 65 pund torsl;
ID1912120410;¨¨;
ID1912120510;røgtet ruser ½;
ID1912120610;¨¨;
ID1912120710;LOSSET Jens Nyborg;
ID1912120810;røgtet ruser, solg 54 pund torsk;
ID1912120910;ved Jens;
ID1912121010;¨¨;
ID1912121110;¨¨;
ID1912121210;regn heledagen;
ID1912121310;ladet byg, Klaus tysker;
ID1912121410;983 tdr.;
ID1912121510;Bertel pløjet;
ID1912121610;ved Jens;
ID1912121710;¨¨;
ID1912121810;¨¨;
ID1912121910;LOSSET Jens Nyborg;
ID1912122000;;
ID1912122100;;
ID1912122200;;
ID1912122300;;
ID1912122400;;
ID1912122500;;
ID1912122600;;
ID1912122700;;
ID1912122800;;
ID1912122900;;
ID1912123000;;
ID1912123100;;
ID1913010110;Ruskvejr;
ID1913010210;ved Wilhelm;
ID1913010310;slået pæle;
ID1913010410;syet garn,P. Lahm;
ID1913010510;Syet garn;
ID1913010610;slået pæle;
ID1913010710;hængt garn;
ID1913010810;slået pæle;
ID1913010910;stanget ål;
ID1913011010;blæst;
ID1913011110;blæst;
ID1913011210;været i Mårup med pumpe;
ID1913011310;stanget 8 ål;
ID1913011410;120 pund tosk, 15 pund ål, stanget ål;
ID1913011510;fået graner, is i havnen;
ID1913011610;sejlet tørjolle ned til bundgarn, 17 ks. Sild;
ID1913011710;Fåret hjem, 3 ks. Sild;
ID1913011810;taget 8 torskeruser op;
ID1913011910;Slået pæle færdig;
ID1913012010;ved Wilhelm;
ID1913012110;Kastet sne, været i Nordby møde;
ID1913012210;blæsevejr;
ID1913012310;taget garn op Frederiks bundgarn;
ID1913012410;sadt Wilhelms bundgarn i hullet;
ID1913012510;stanget ål;
ID1913012610;søndag, været i skolen;
ID1913012710;stanget ål, været i Nordby Generalforsamling sygekasse;
ID1913012810;stanget ål;
ID1913012910;solgt 22 pund ål, 95 pund torsk til Niels, 6 ører pr. pund;
ID1913013010;blæst og is;
ID1913013110;slået is af Wilhelm bundgarn om eftermiddagen;
ID1913020110;ved Jens;
ID1913020210;fastelavn;
ID1913020310;ved Jens 1/2, stanget ål;
ID1913020410;stanget ål;
ID1913020510;stanget ål, en ål 4 pund;
ID1913020610;ved Wilhelm, tjæret garn;
ID1913020710;stanget ål;
ID1913020810;blæst, storm, til bal ved Lahms;
ID1913020910;søndag, blæst;
ID1913021010;taget Wilhelms garn op;
ID1913021110;syet garn;
ID1913021210;Annalid fødselsdag, slået pæle;
ID1913021310;syet garn;
ID1913021410;syet garn;
ID1913021510;slået pæle;
ID1913021610;slået pæle;
ID1913021710;syet garn;
ID1913021810;syet garn;
ID1913021910;M. Kjærulfs begravelse, slået pæle færdig;
ID1913022010;hængt garn;
ID1913022110;Lavet garn;
ID1913022210;Lavet garn;
ID1913022310;stanget ål, 20 pund ål;
ID1913022410;lavet garn, været i Nordby om aftenen;
ID1913022510;slået pæle;
ID1913022610;slået pæle;
ID1913022710;slået pæle færdig;
ID1913022810;lavet garn;
ID1913030110;ved Ballen, 44 ks, sild;
ID1913030210;20 ks. Sild;
ID1913030310;blæsevejr;
ID1913030410;9 ks. Sild;
ID1913030510;blæst og højvande om aftenen;
ID1913030610;7 ks. sild;
ID1913030810;1 ks. Sild ved Ballen;
ID1913030910;Andreas strandet, storm om natten;
ID1913031010;?;
ID1913031110;fået skuden af, 35 ks. Sild;
ID1913031210; ;
ID1913031410;43 ks. Sild;
ID1913031710;lammet født, 25 ks. Sild;
ID1913031810;3 ks. Store sild;
ID1913031910;syet garn;
ID1913032210;syet garn;
ID1913032310;Påske, Sofus ?;
ID1913032410;Fremmede fra Nordby, 34 ks sild;
ID1913032510;47 ks. Sild;
ID1913032610;27 ks. Sild;
ID1913032710;5 ks. Sild;
ID1913032810;blæst sydøst;
ID1913032910;blæst sydøst;
ID1913033010;sadt kartofler, søndag, 4 k. store sild;
ID1913033110;17 ks. Sild, Sofus strandet bag Besser rev;
ID1913030101; 361ks. Sild i marts;
ID1913030700;;
ID1913031300;;
ID1913031500;;
ID1913031600;;
ID1913032000;;
ID1913032100;;
ID1913040110;15 ks. Sild;
ID1913040210;fodret ud på Lindholm;
ID1913040310;lavet åleruser;
ID1913040410;ingen sild, lavet garn;
ID1913040610;3 ks. Sild;
ID1913040910;3 ks. sild;
ID1913041410;5 ks. Sild;
ID1913041610;3 ks. sild;
ID1913041810;sadt åleruser;
ID1913042110;sadt nordre garn, taget inderste garn op;
ID1913042510;sadt garn i hullet inderste, 17 hornfisk;
ID1913042610;92 hornfisk, 1 ks, sild, taget yderste garn op i hullet;
ID1913042710;Klaudine og Nicolai;
ID1913042810;56 hornfisk;
ID1913042910;sat yderste garn i hullet;
ID1913043010;56 hornfisk, 3 ks. Sild;
ID1913040101;33 ks. Sild i april;
ID1913040500;;
ID1913040700;;
ID1913040800;;
ID1913041000;;
ID1913041100;;
ID1913041200;;
ID1913041300;;
ID1913041500;;
ID1913041700;;
ID1913041900;;
ID1913042000;;
ID1913042200;;
ID1913042300;;
ID1913042400;;
ID1913050210;9 ks., 17 snese hf;
ID1913050410;16 snese hf;
ID1913050510;solgt 27pund ål, 9oo hf;
ID1913050610;6 k sild, 10 ks. Hornfisk;
ID1913050710;19 ks. S, 3 k. hf;
ID1913050810;2o k. s., 2 k. hf;
ID1913050910;21 k. s., 2. k. hf;
ID1913051010;taget åleruser op;
ID1913051110;søndag, pinsedag;
ID1913051210;18 k.s. 6. k. hf;
ID1913051310;28 k. s.  4 k. hf;
ID1913051410;39 k.s. 1. k. hf.;
ID1913051510;19 k.s., 6 k. hf.;
ID1913051610;19 k.s.9 k. hornfisk;
ID1913052010;35 k. sild, 11 k. hf;
ID1913052110;22 k. s., 5 k. hf.;
ID1913052210;24 k.s., 2. k. hf.;
ID1913052310;23 k.s., 6 k. hf;
ID1913052410;Wilhelm Århus;
ID1913052610;9 k.s., 14 k. hf.;
ID1913052710;26 k.s., 6 k. hf.;
ID1913052810;17 k.s., 6. k. hf;
ID1913052910;3 k. s., 7 k. hf.;
ID1913053010;8 k. sild, 40 hornfisk;
ID1913053110;Motorjollen i land;
ID1913050100;;
ID1913050300;;
ID1913051700;;
ID1913051800;;
ID1913051900;;
ID1913052500;;
ID1913060210;16 k. sild, dyrskue;
ID1913060310;15 k.s., 4 k. hf;
ID1913060410;Wilhelm i Århus;
ID1913060610;40 k. sild;
ID1913060810;20 kas sild, været i Kallundborg;
ID1913061010;Hjem fra Kallundborg, 11 k. sild;
ID1913061110;blæst;
ID1913061210;blæst;
ID1913061310;8. k.s., 1 k. hf, 1 k. makrel;
ID1913061510;Været i Kallundborg, 19 k.s., 1 k. makrel;
ID1913061610;Været i Kallundborg, 10 k.s., 2. k. hf. , 1 k. makrel;
ID1913061810;Været i Kallundborg, 10 k. sild;
ID1913062010;Taget nordre garn op, Vilhelm i Århus;
ID1913062110;? Fra Nordby;
ID1913062210;Filmselskabet Kora, Hillegrad, Ella;
ID1913062410;Været i Kallundborg;
ID1913062510;3 ks. Sild, 145 pund rejer;
ID1913062610;taget yderste garn op i hullet;
ID1913062710;Ved Ballen, 1. k. sild, 5 ks. Rejer;
ID1913062810;tjæret taget;
ID1913062910;tjæret taget;
ID1913060100;;
ID1913060500;;
ID1913060700;;
ID1913060900;;
ID1913061400;;
ID1913061700;;
ID1913061900;;
ID1913062300;;
ID1913063000;;
ID1913070110;8 k. s.,2. k. hf. 1. k. makrel;
ID1913070210;taget inderste garn op i hullet, 1 1/2 k. s.;
ID1913070810;Ved Ballen med 3. k. rejer;
ID1913071110;Vilhelm i Kallundborg rejer;
ID1913071310;Vilhelm i Århus med rejer;
ID1913071810;slået 5 pæle, ved Ballen med rejer;
ID1913071910;hængt garn ihullet;
ID1913072210;solgt lammet   30,30, 4 k. makrel, 3 snese hf.;
ID1913072410;solgt faaret til Kleis, 4o kr.;
ID1913072610;Filmfartøjet Ella, sunket Kyholm;
ID1913072710;Marie i Nordby;
ID1913072810;Været i Kallundborg, rejer, 16. k. makrel, meget blæsevejr;
ID1913073010;Væfet i Kalundborg, rejer, 12.k. makrel;
ID1913070300;;
ID1913070400;;
ID1913070500;;
ID1913070600;;
ID1913070700;;
ID1913070900;;
ID1913071000;;
ID1913071200;;
ID1913071400;;
ID1913071500;;
ID1913071600;;
ID1913071700;;
ID1913072000;;
ID1913072100;;
ID1913072300;;
ID1913072500;;
ID1913072900;;
ID1913073100;;
ID1913080110; Ikallundborg, 56 ol makrel;
ID1913080510;slået pæle Vestermai;
ID1913080610;fået grisen, 15 kr.;
ID1913080810;Motorjollen hjem, 4 k. makrel Ballen;
ID1913081010;Damperen fra Århus;
ID1913081210;20 k. makrel;
ID1913081410;taget garn op;
ID1913081510;slået pæle vesterlands;
ID1913081610;damjollen iland;
ID1913081710;regnvejr, blæst;
ID1913081910;barket ruser, motorjollen hjem;
ID1913082010;slået pæle stålhøj;
ID1913082110;slået pæle i bugten;
ID1913082210;hængt garn;
ID1913082310;tjæret åleruser;
ID1913082410;Slæbet fisk, 4 snese;
ID1913082910;27k. Hf, 2. k. sild;
ID1913080200;;
ID1913080300;;
ID1913080400;;
ID1913080700;;
ID1913080900;;
ID1913081100;;
ID1913081300;;
ID1913081800;;
ID1913082500;;
ID1913082600;;
ID1913082700;;
ID1913082800;;
ID1913083000;;
ID1913083100;;
